source_id,raw_u-g,raw_g-r,raw_r-i,raw_i-z,u-g,g-r,r-i,i-z,r_mag,concentration_r,z_spec,z_spec_err,is_valid
75721,0.4429000000000016,0.29773999999999745,0.29979000000000156,0.06408000000000058,0.384738500000001,0.2344830999999985,0.26331479999999985,0.037049840000001666,18.3694239,2.70544313919473,0.148594,1.015644e-05,False
80184,5.021149999999999,1.7338700000000031,0.625989999999998,0.2901600000000002,5.00312023,1.7142606900000033,0.614682859999995,0.28178078000000184,19.030724999999997,3.061815967436273,0.3703072,7.474792e-05,False
19864,2.2881199999999993,1.3127899999999997,0.5200899999999997,0.3610100000000003,2.2397573999999985,1.2601905000000002,0.4897599700000015,0.3385337899999996,17.609765200000002,3.0210104203739414,0.1826857,4.4112e-05,False
76699,1.8770799999999994,1.1982999999999997,0.5021899999999988,0.3340999999999994,1.8573779100000003,1.1768718800000002,0.4898340999999995,0.32494357999999934,17.1173625,2.549633554622493,0.1800817,3.24343e-05,False
92991,1.911559999999998,1.9490200000000009,0.7015999999999991,0.3745100000000008,1.8711288999999987,1.905046849999998,0.6762441800000012,0.3557199199999985,18.96249805,2.7370576084734446,0.3672048,0.0001702679,True
76434,2.9203699999999984,1.7581500000000005,1.0124199999999988,0.6778100000000009,2.895554969999999,1.7311610300000027,0.9968575899999976,0.6662773800000004,20.9097606,2.349822873577374,0.5832808,0.0001432437,True
84004,-0.1138500000000029,1.8292900000000003,1.1921199999999992,0.5528700000000022,-0.1292467900000034,1.8125443399999988,1.1824641000000007,0.5457144400000011,20.92607273,2.9979709418173037,0.633856,0.0002280663,True
80917,0.5016400000000019,1.3489900000000006,0.8699699999999986,0.37453999999999965,0.4352885000000022,1.2768255999999987,0.8283586000000014,0.3437035299999991,19.6835001,2.7983232883605593,0.6052129,0.0001179368,False
60767,5.251899999999999,1.737210000000001,0.949069999999999,0.5305500000000016,5.243519609999996,1.7280954400000006,0.9438143500000002,0.5266552800000035,19.59592148,3.045157135950928,0.4816532,0.0001321742,False
50074,1.6283900000000031,1.476149999999997,0.9935100000000006,0.3038500000000006,1.6176016500000046,1.4644165199999968,0.9867442299999993,0.2988361800000021,20.79081305,1.6959870971792739,0.5991355,5.625608e-05,False
27701,1.088709999999999,0.3745800000000017,0.4092999999999982,0.049150000000000915,1.075030009999999,0.3597015500000005,0.40072078000000033,0.04279230999999939,21.51710388,1.908549480090698,0.1192158,4.39634e-05,True
42141,1.1043899999999987,0.38632000000000133,0.2448200000000007,0.13567000000000107,1.0827226900000007,0.3627544900000004,0.2312316299999999,0.12560026000000235,17.61029491,2.4008517773797347,0.04540909,7.762036e-06,False
45080,2.0418999999999983,1.2339699999999993,0.540910000000002,0.35567999999999955,2.0186590499999966,1.2086929499999997,0.526334720000003,0.3448789099999985,16.331073200000002,2.6300234587132802,0.1867688,3.483443e-05,False
16638,1.8618699999999997,0.9976100000000017,0.44491000000000014,0.2941699999999994,1.848708330000001,0.9832952800000001,0.4366558299999994,0.28805320000000023,16.61699922,3.079954504543441,0.1511956,2.138107e-05,False
20424,1.7202400000000004,1.0267899999999983,0.46314999999999884,0.3190300000000015,1.6948643500000031,0.9991912399999983,0.4472359899999958,0.3072368100000027,17.27869191,2.7307379132985035,0.1429097,2.934484e-05,True
88702,2.7765500000000003,1.3300400000000003,1.1741700000000002,0.5941600000000022,2.763421149999999,1.315760970000003,1.1659364100000005,0.5880584500000019,21.21895932,2.9054574129235093,0.5826601,0.0002134198,True
149,1.7385899999999985,0.7935600000000029,0.3852599999999988,0.23830999999999847,1.7211237199999978,0.7745635400000026,0.37430623999999924,0.23019266000000016,17.5063806,2.270534599907981,0.06351675,2.002838e-05,False
1761,1.263259999999999,0.6483300000000014,0.357190000000001,0.2720399999999987,1.2456363199999991,0.6291623499999996,0.34613754000000085,0.2638494999999992,15.54818636,3.081884566712839,0.02879249,8.859483e-06,False
63120,1.6819699999999997,0.9043099999999988,0.3754000000000026,0.33097000000000065,1.6716364200000022,0.8930711299999992,0.3689194300000018,0.3261675299999993,17.18606325,2.6582067477689577,0.07230376,1.857724e-05,False
